[Sun Nov 26 11:36:48.662891 2017] [:error] [pid 3539] [client 123.49.46.144:45139] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:38:31.756857 2017] [:error] [pid 4429] [client 123.49.46.144:45884] PHP Notice:  Undefined index: data in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/main/signup/
[Sun Nov 26 11:38:31.756941 2017] [:error] [pid 4429] [client 123.49.46.144:45884] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/main/signup/
[Sun Nov 26 11:38:31.756967 2017] [:error] [pid 4429] [client 123.49.46.144:45884] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/main/signup/
[Sun Nov 26 11:38:34.974857 2017] [:error] [pid 4429] [client 123.49.46.144:45884] PHP Notice:  Undefined index: data in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/main/customer/
[Sun Nov 26 11:38:34.974974 2017] [:error] [pid 4429] [client 123.49.46.144:45884] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/main/customer/
[Sun Nov 26 11:38:34.974994 2017] [:error] [pid 4429] [client 123.49.46.144:45884] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/main/customer/
[Sun Nov 26 11:38:43.137416 2017] [:error] [pid 4378] [client 123.49.46.144:45969] PHP Notice:  Undefined index: data in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:38:43.137524 2017] [:error] [pid 4378] [client 123.49.46.144:45969] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:38:43.137558 2017] [:error] [pid 4378] [client 123.49.46.144:45969] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:38:43.415535 2017] [:error] [pid 4378] [client 123.49.46.144:45969] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:38:43.415606 2017] [:error] [pid 4378] [client 123.49.46.144:45969] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:38:43.415620 2017] [:error] [pid 4378] [client 123.49.46.144:45969] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:38:43.692029 2017] [:error] [pid 4378] [client 123.49.46.144:45969] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:38:43.692130 2017] [:error] [pid 4378] [client 123.49.46.144:45969] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:38:43.692149 2017] [:error] [pid 4378] [client 123.49.46.144:45969] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:41:21.672135 2017] [:error] [pid 3081] [client 123.49.46.144:47603] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:41:21.672214 2017] [:error] [pid 3081] [client 123.49.46.144:47603] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:41:21.672229 2017] [:error] [pid 3081] [client 123.49.46.144:47603] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:41:46.867036 2017] [:error] [pid 4429] [client 123.49.46.144:47900] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:41:46.867129 2017] [:error] [pid 4429] [client 123.49.46.144:47900] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:41:46.867152 2017] [:error] [pid 4429] [client 123.49.46.144:47900] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:42:01.672920 2017] [:error] [pid 4378] [client 123.49.46.144:48092] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:42:01.673435 2017] [:error] [pid 4378] [client 123.49.46.144:48092] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:42:01.673489 2017] [:error] [pid 4378] [client 123.49.46.144:48092] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:42:04.486387 2017] [:error] [pid 4891] [client 123.49.46.144:48104] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:42:04.486555 2017] [:error] [pid 4891] [client 123.49.46.144:48104] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:42:04.486593 2017] [:error] [pid 4891] [client 123.49.46.144:48104] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:42:04.488260 2017] [:error] [pid 4891] [client 123.49.46.144:48104] PHP Warning:  include(app/views/admin/changePhone.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Load.php on line 13, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:42:04.488300 2017] [:error] [pid 4891] [client 123.49.46.144:48104] PHP Warning:  include(): Failed opening 'app/views/admin/changePhone.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Load.php on line 13, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:42:13.784889 2017] [:error] [pid 3543] [client 123.49.46.144:48208] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:42:13.784960 2017] [:error] [pid 3543] [client 123.49.46.144:48208] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:42:13.784973 2017] [:error] [pid 3543] [client 123.49.46.144:48208] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:42:13.785107 2017] [:error] [pid 3543] [client 123.49.46.144:48208] PHP Warning:  include(app/views/admin/changePhone.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Load.php on line 13, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:42:13.785123 2017] [:error] [pid 3543] [client 123.49.46.144:48208] PHP Warning:  include(): Failed opening 'app/views/admin/changePhone.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Load.php on line 13, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:42:25.364042 2017] [:error] [pid 4852] [client 123.49.46.144:48338] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:42:25.364147 2017] [:error] [pid 4852] [client 123.49.46.144:48338] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:42:25.364186 2017] [:error] [pid 4852] [client 123.49.46.144:48338] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:43:45.890443 2017] [:error] [pid 3543] [client 123.49.46.144:49098] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:43:45.890553 2017] [:error] [pid 3543] [client 123.49.46.144:49098] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
